book1,book2,cosine_similarity
373.txt,382.txt,0.14365443290854435
359.txt,374.txt,0.14365249100533448
18.txt,67.txt,0.14335918583785243
207.txt,487.txt,0.14319090830983427
354.txt,379.txt,0.14316658773120086
357.txt,261.txt,0.1431481854934318
23.txt,71.txt,0.14313356678524433
370.txt,374.txt,0.14289952911162423
200.txt,466.txt,0.14271055151675238
455.txt,328.txt,0.14270459770283295
448.txt,253.txt,0.1426761189962562
424.txt,442.txt,0.14267387436148554
392.txt,400.txt,0.14258180926631578
90.txt,85.txt,0.14249314535774155
434.txt,179.txt,0.14235094433553475
474.txt,21.txt,0.14231623069741614
258.txt,323.txt,0.14226752002609683
359.txt,258.txt,0.14224064151238341
359.txt,234.txt,0.1421740294888233
328.txt,109.txt,0.14209729926884532
470.txt,333.txt,0.14163004187849654
359.txt,379.txt,0.14145571542187488
379.txt,382.txt,0.14132589486285574
232.txt,264.txt,0.1412160616219725
258.txt,312.txt,0.14119098595102003
392.txt,359.txt,0.14117184790536225
200.txt,168.txt,0.14111801268189755
452.txt,260.txt,0.14096075098836566
359.txt,21.txt,0.14085721842934157
262.txt,317.txt,0.14082006073900027
381.txt,487.txt,0.14064203002512507
448.txt,477.txt,0.14063439976572442
313.txt,400.txt,0.1405970749826614
317.txt,151.txt,0.14029178189912495
215.txt,324.txt,0.14013748416863453
259.txt,313.txt,0.1401345259049723
260.txt,379.txt,0.139825521889138
379.txt,328.txt,0.13970835990837238
180.txt,88.txt,0.13957136729262296
359.txt,326.txt,0.13943955802365007
312.txt,487.txt,0.13938726396113188
261.txt,263.txt,0.13933842765819912
260.txt,357.txt,0.13928387417718552
373.txt,379.txt,0.13925742593402027
474.txt,473.txt,0.13916726176435287
260.txt,258.txt,0.139149297200838
418.txt,58.txt,0.138977522120708
371.txt,443.txt,0.1389330251322509
258.txt,207.txt,0.1387970473273366
163.txt,109.txt,0.13878665164042803
227.txt,249.txt,0.13873376875634322
232.txt,400.txt,0.13863600608885862
470.txt,445.txt,0.13839633777496427
138.txt,379.txt,0.1383568089567268
424.txt,263.txt,0.13835557846330077
109.txt,151.txt,0.13820028430807643
58.txt,151.txt,0.13817952539530876
360.txt,477.txt,0.13812742192020344
405.txt,342.txt,0.1381220493345286
309.txt,264.txt,0.13812202647907773
448.txt,61.txt,0.1380754973528786
261.txt,313.txt,0.13798078535529898
232.txt,151.txt,0.13794950050959254
207.txt,109.txt,0.13785052951141694
309.txt,232.txt,0.13773016167630864
200.txt,452.txt,0.13766648894725889
232.txt,424.txt,0.13761998684746882
